"total distance of drones";"distance per drone";"tick"
9584.815858598062;1198.1019823247577;1241.0
9606.759110963765;1200.8448888704706;1243.0
9628.488319291113;1203.5610399113891;1245.0
9649.85087439106;1206.2313592988826;1247.0
9671.732237323424;1208.966529665428;1249.0
9693.797569410191;1211.724696176274;1251.0
9716.008236124835;1214.5010295156044;1253.0
9738.449977530163;1217.3062471912704;1255.0
9761.220145630974;1220.1525182038718;1257.0
9783.685218598437;1222.9606523248046;1259.0
9806.910614356237;1225.8638267945296;1261.0
9830.089163416214;1228.7611454270268;1263.0
9853.04527492103;1231.6306593651288;1265.0
9875.111510945077;1234.3889388681346;1267.0
9896.49072357771;1237.0613404472138;1269.0
9917.433282778964;1239.6791603473705;1271.0
9937.699697606708;1242.2124622008384;1273.0
9957.464648776619;1244.6830810970773;1275.0
9976.371874017275;1247.0464842521594;1277.0
9994.333658058817;1249.291707257352;1279.0
10011.589100407238;1251.4486375509048;1281.0
10028.24260328803;1253.5303254110038;1283.0
10043.764812086996;1255.4706015108745;1285.0
10058.463684325076;1257.3079605406344;1287.0
10073.31873666642;1259.1648420833026;1289.0
10088.359288592499;1261.0449110740624;1291.0
10102.28866686115;1262.7860833576437;1293.0
10114.891493026964;1264.3614366283705;1295.0
10126.580282233399;1265.8225352791749;1297.0
10138.488349486235;1267.3110436857794;1299.0
10150.997475652912;1268.874684456614;1301.0
10162.904316300486;1270.3630395375608;1303.0
10175.942350301537;1271.992793787692;1305.0
10190.185268655565;1273.7731585819456;1307.0
10205.541604394723;1275.6927005493403;1309.0
10221.67734528215;1277.7096681602688;1311.0
10238.489070524733;1279.8111338155916;1313.0
10255.593310231636;1281.9491637789545;1315.0
10273.347806790453;1284.1684758488066;1317.0
10290.11963074248;1286.26495384281;1319.0
10306.145379347448;1288.268172418431;1321.0
10322.150275078333;1290.2687843847916;1323.0
10337.46248607239;1292.1828107590488;1325.0
10352.589065671515;1294.0736332089393;1327.0
10367.424030982307;1295.9280038727884;1329.0
10382.556275509423;1297.819534438678;1331.0
10398.108612671147;1299.7635765838934;1333.0
10412.946728348634;1301.6183410435792;1335.0
10425.872264522648;1303.234033065331;1337.0
10437.9738926788;1304.74673658485;1339.0
10449.694473546992;1306.211809193374;1341.0
10460.976087055218;1307.6220108819023;1343.0
10471.979014755058;1308.9973768443822;1345.0
10482.441805490489;1310.3052256863111;1347.0
